,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,params,params,system_attrs
,,,,,,C,class_weight,dual,intercept_scaling,l1_ratio,multi_class,penalty,random_state,solver,warm_start,_number
65,65,TrialState.COMPLETE,0.8629417690772205,2020-01-04 20:29:26.085887,2020-01-04 20:29:26.342306,0.0013580211968087538,,,,,auto,l2,4,saga,False,65
66,66,TrialState.COMPLETE,0.7263906249162128,2020-01-04 20:29:26.342995,2020-01-04 20:29:26.632340,3.247633142199405e-05,,,,,auto,l2,22,saga,False,66
67,67,TrialState.COMPLETE,0.7263906249162128,2020-01-04 20:29:26.633067,2020-01-04 20:29:26.907026,7.721340657572915e-06,,,,,auto,l2,28,saga,False,67
68,68,TrialState.COMPLETE,0.862936286043966,2020-01-04 20:29:26.907674,2020-01-04 20:29:27.151487,0.0012845740706223482,,,,,auto,l2,9,saga,False,68
69,69,TrialState.COMPLETE,0.8307309364147202,2020-01-04 20:29:27.152202,2020-01-04 20:29:27.424687,0.0003207412959653763,,,,,auto,l2,15,saga,False,69
70,70,TrialState.COMPLETE,0.8588456754153178,2020-01-04 20:29:27.425411,2020-01-04 20:29:27.707608,0.0012681032191881674,balanced,,,,auto,l2,24,saga,False,70
71,71,TrialState.COMPLETE,0.8609452521176884,2020-01-04 20:29:27.708332,2020-01-04 20:29:27.974384,0.0049442567065779005,,,,,auto,l2,6,saga,False,71
72,72,TrialState.COMPLETE,0.8587793854964874,2020-01-04 20:29:27.975091,2020-01-04 20:29:28.246353,0.000692127487957683,,,,,auto,l2,4,saga,False,72
73,73,TrialState.COMPLETE,0.859040409727803,2020-01-04 20:29:28.247041,2020-01-04 20:29:28.509394,0.04665986337576522,,,,,auto,l2,10,saga,False,73
74,74,TrialState.COMPLETE,0.8600004919043591,2020-01-04 20:29:28.510172,2020-01-04 20:29:28.773509,0.013297488125364321,,,,,auto,l2,19,saga,False,74
75,75,TrialState.COMPLETE,0.7263906249162128,2020-01-04 20:29:28.774223,2020-01-04 20:29:29.046659,0.00011173447112695538,,,,,auto,l2,9,saga,False,75
76,76,TrialState.COMPLETE,0.8516162328619948,2020-01-04 20:29:29.047342,2020-01-04 20:29:29.338870,,,,,,auto,none,15,,False,76
77,77,TrialState.COMPLETE,0.86365549551797,2020-01-04 20:29:29.339554,2020-01-04 20:29:29.606342,0.001602325327542045,,,,,ovr,l2,51,saga,True,77
78,78,TrialState.COMPLETE,0.8573470194366639,2020-01-04 20:29:29.607025,2020-01-04 20:29:29.872472,0.003794794428311816,,,,0.740954234579007,ovr,elasticnet,57,,True,78
79,79,TrialState.COMPLETE,0.8627579285870605,2020-01-04 20:29:29.873158,2020-01-04 20:29:30.148371,0.0013121039408777635,,,,,ovr,l2,51,saga,True,79
80,80,TrialState.COMPLETE,0.8533148952358183,2020-01-04 20:29:30.149077,2020-01-04 20:29:30.428397,0.0019119262519027693,,,,,ovr,l1,46,saga,True,80
81,81,TrialState.COMPLETE,0.7468271087777059,2020-01-04 20:29:30.429114,2020-01-04 20:29:30.710835,0.00021484470976682827,,,,,ovr,l2,71,saga,True,81
82,82,TrialState.COMPLETE,0.855233279675202,2020-01-04 20:29:30.711610,2020-01-04 20:29:30.984310,0.0005604541105546834,,,,,ovr,l2,49,saga,True,82
83,83,TrialState.COMPLETE,0.860551302833428,2020-01-04 20:29:30.985012,2020-01-04 20:29:31.265043,0.0068935290518455814,,,,,auto,l2,13,saga,False,83
84,84,TrialState.COMPLETE,0.8592874680303826,2020-01-04 20:29:31.265809,2020-01-04 20:29:31.543433,0.017924286716467366,,,,,ovr,l2,42,saga,True,84
85,85,TrialState.COMPLETE,0.8628716471471233,2020-01-04 20:29:31.544188,2020-01-04 20:29:31.833333,0.0009192282058242927,,,,,auto,l2,4,saga,False,85
86,86,TrialState.COMPLETE,0.8620993367485262,2020-01-04 20:29:31.834082,2020-01-04 20:29:32.120559,0.003108137730301725,,,,,auto,l2,19,saga,False,86
87,87,TrialState.COMPLETE,0.858888647542748,2020-01-04 20:29:32.121251,2020-01-04 20:29:32.400427,0.02710889615419209,,,,,auto,l2,29,saga,False,87
88,88,TrialState.COMPLETE,0.8321507028647737,2020-01-04 20:29:32.401115,2020-01-04 20:29:32.679738,0.0003293767900959303,,,,,auto,l2,35,saga,False,88
89,89,TrialState.COMPLETE,0.8635250001261114,2020-01-04 20:29:32.680427,2020-01-04 20:29:32.962377,0.0014837782137454329,,,,,auto,l2,26,saga,False,89
90,90,TrialState.COMPLETE,0.8588433259899567,2020-01-04 20:29:32.963076,2020-01-04 20:29:33.255502,0.0017975936865767105,balanced,,,,auto,l2,33,saga,False,90
91,91,TrialState.COMPLETE,0.7837472343601751,2020-01-04 20:29:33.256218,2020-01-04 20:29:33.582890,0.006832775408478737,,True,0.1710886370709288,,auto,l2,25,liblinear,False,91
92,92,TrialState.COMPLETE,0.8627425867290295,2020-01-04 20:29:33.583571,2020-01-04 20:29:33.879908,0.0010225821732508084,,,,,auto,l2,37,saga,False,92
93,93,TrialState.COMPLETE,0.861768369076683,2020-01-04 20:29:33.880614,2020-01-04 20:29:34.168741,0.0036246686896251835,,,,,auto,l2,21,saga,False,93
94,94,TrialState.COMPLETE,0.8511459560252514,2020-01-04 20:29:34.169477,2020-01-04 20:29:34.457756,0.0004928615763441787,,,,,auto,l2,26,saga,False,94
95,95,TrialState.COMPLETE,0.8632948904600364,2020-01-04 20:29:34.458479,2020-01-04 20:29:34.752970,0.0020156904155207004,,,,,auto,l2,28,saga,False,95
96,96,TrialState.COMPLETE,0.8627918883505645,2020-01-04 20:29:34.753667,2020-01-04 20:29:35.044057,0.00249729834004042,,,,,auto,l2,30,saga,False,96
97,97,TrialState.COMPLETE,0.8516162328619948,2020-01-04 20:29:35.044745,2020-01-04 20:29:35.356287,,,,,,auto,none,28,,False,97
98,98,TrialState.COMPLETE,0.7263906249162128,2020-01-04 20:29:35.357013,2020-01-04 20:29:35.659610,0.0001404625878154412,,,,,ovr,l2,43,saga,True,98
99,99,TrialState.COMPLETE,0.7263906249162128,2020-01-04 20:29:35.660336,2020-01-04 20:29:35.956982,5.3973628955189145e-05,,,,,auto,l2,37,saga,False,99
