,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs
,,,,,,bagging_fraction,bagging_freq,feature_fraction,lambda_l1,lambda_l2,min_child_samples,num_leaves,random_state,_number
10,10,TrialState.COMPLETE,0.8143764760475769,2020-01-01 11:43:27.361838,2020-01-01 11:46:09.190932,0.923251855665033,2,0.7840853762228063,0.012123269894932077,1.590049740998054e-08,5,247,31,10
11,11,TrialState.COMPLETE,0.8114036186266466,2020-01-01 11:46:09.194814,2020-01-01 11:49:01.178084,0.9446650021995481,1,0.8422614365529907,0.010600769528377772,2.4827755336964947e-08,5,254,31,11
12,12,TrialState.COMPLETE,0.807847569740036,2020-01-01 11:49:01.181751,2020-01-01 11:51:43.553927,0.9888808248768592,2,0.8657584185797162,0.013205334164379653,1.1097643464314596e-08,6,250,36,12
13,13,TrialState.COMPLETE,0.8122339487976034,2020-01-01 11:51:43.561896,2020-01-01 11:52:50.063419,0.9078277401437863,1,0.8341081344885231,0.020820110510879047,1.0172093289534348e-06,22,210,68,13
14,14,TrialState.COMPLETE,0.8153457230345869,2020-01-01 11:52:50.067164,2020-01-01 11:53:52.437429,0.8762667933963129,2,0.8003290565636416,0.16410732495844932,8.711296368126065e-07,23,206,71,14
15,15,TrialState.COMPLETE,0.8138354662756198,2020-01-01 11:53:52.441741,2020-01-01 11:54:50.603063,0.8814892784687856,2,0.754503131210466,0.3994495542257442,1.6775020809495355e-06,25,169,71,15
16,16,TrialState.COMPLETE,0.7858028700153865,2020-01-01 11:54:50.610459,2020-01-01 11:55:41.975908,0.8427295864215426,2,0.7545776850924676,0.001573302978389942,0.007509060143579237,41,224,74,16
17,17,TrialState.COMPLETE,0.7302937618660336,2020-01-01 11:55:41.981158,2020-01-01 11:56:29.579974,0.6418694643040973,3,0.9167167536358564,0.6367223718675346,6.383927836785165e-06,100,155,59,17
18,18,TrialState.COMPLETE,0.8113486583817154,2020-01-01 11:56:29.585851,2020-01-01 11:57:50.630710,0.9176999367525908,2,0.6078799449221465,0.0016814245709713851,1.897880425915229e-07,15,235,80,18
19,19,TrialState.COMPLETE,0.7952535129831082,2020-01-01 11:57:50.637877,2020-01-01 11:58:42.034576,0.8419566538652881,4,0.7353809890819609,1.3925719173771687,0.00017494759343221624,34,90,29,19
20,20,TrialState.COMPLETE,0.8121846436543935,2020-01-01 11:58:42.041366,2020-01-01 11:59:54.000911,0.9892050470882097,3,0.6674294876289768,0.07403275896208794,1.4345516213218625e-08,19,177,62,20
